Speed,instance,QS phase,intercept,stiffness,MSE,R2,inverted
Subject5,0.964317,DP,0.592,1.976,0.009,0.951,False
Subject5,0.970427,CP,-0.063,0.855,0.0,0.963,False
Subject5,0.970427,ERP,-0.067,1.836,0.002,0.921,False
Subject5,0.970427,LRP,-1.841,11.515,0.001,0.988,False
Subject5,0.970427,DP,0.688,1.982,0.009,0.95,False
Subject5,0.9801479999999999,CP,-0.054,0.954,0.0,0.956,False
Subject5,0.9801479999999999,ERP,-0.085,1.571,0.003,0.823,False
Subject5,0.9801479999999999,LRP,-1.39,10.483,0.0,0.998,False
Subject5,0.9801479999999999,DP,0.825,2.153,0.005,0.982,False
Subject5,1.230732,CP,-0.059,0.964,0.0,0.995,False
Subject5,1.230732,ERP,-0.045,1.915,0.004,0.856,False
Subject5,1.230732,LRP,-0.877,9.103,0.001,0.992,False
Subject5,1.230732,DP,0.92,2.18,0.005,0.984,False
Subject5,1.338256,CP,-0.058,0.98,0.0,0.941,False
Subject5,1.338256,ERP,-0.108,2.261,0.008,0.821,False
Subject5,1.338256,LRP,-1.366,10.391,0.001,0.987,False
Subject5,1.338256,DP,0.923,1.919,0.005,0.983,False
Subject5,1.365789,CP,-0.053,0.87,0.0,0.956,False
Subject5,1.365789,ERP,-0.103,1.162,0.002,0.81,False
Subject5,1.365789,LRP,-1.522,10.06,0.0,0.997,False
Subject5,1.365789,DP,0.936,2.033,0.003,0.989,False
Subject5,1.38535,CP,-0.06,1.322,0.0,0.816,False
Subject5,1.38535,ERP,-0.144,1.562,0.004,0.837,False
Subject5,1.38535,LRP,-2.035,12.488,0.004,0.969,False
Subject5,1.38535,DP,0.936,1.954,0.004,0.986,False
Subject5,1.872529,CP,-0.103,0.725,0.0,0.989,False
Subject5,1.872529,ERP,-0.119,2.253,0.013,0.793,False
Subject5,1.872529,LRP,-2.844,17.325,0.006,0.917,False
Subject5,1.872529,DP,1.013,2.084,0.002,0.993,False
Subject5,1.982102,CP,-0.083,0.571,0.0,0.97,False
Subject5,1.982102,ERP,-0.043,2.17,0.01,0.795,False
Subject5,1.982102,LRP,0.202,-0.06,0.0,0.99,True
Subject5,1.982102,DP,1.126,1.745,0.009,0.932,False
Subject6,0.777065,CP,-0.011,-0.027,0.0,0.403,False
Subject6,0.777065,ERP,0.181,1.93,0.001,0.945,False
Subject6,0.777065,LRP,-0.016,3.913,0.002,0.957,False
Subject6,0.777065,DP,0.629,1.673,0.004,0.97,False
Subject6,0.905852,CP,-0.021,0.024,0.0,0.256,False
Subject6,0.905852,ERP,0.092,1.811,0.001,0.927,False
Subject6,0.905852,LRP,0.015,3.852,0.001,0.993,False
Subject6,0.905852,DP,0.694,1.998,0.004,0.984,False
Subject6,0.95424,CP,-0.024,0.204,0.0,0.945,False
Subject6,0.95424,ERP,0.018,1.469,0.001,0.863,False
Subject6,0.95424,LRP,-0.311,4.95,0.0,0.997,False
Subject6,0.95424,DP,0.65,1.747,0.002,0.984,False
Subject6,1.27862,CP,-0.033,0.158,0.0,0.926,False
Subject6,1.27862,ERP,0.121,2.333,0.006,0.805,False
Subject6,1.27862,LRP,0.198,4.749,0.001,0.975,False
Subject6,1.27862,DP,0.799,1.439,0.007,0.956,False
Subject6,1.2981719999999999,CP,-0.042,0.176,0.0,0.974,False
Subject6,1.2981719999999999,ERP,0.107,2.152,0.002,0.876,False
Subject6,1.2981719999999999,LRP,-0.096,7.079,0.001,0.988,False
Subject6,1.2981719999999999,DP,0.91,1.781,0.006,0.965,False
Subject6,1.314543,CP,-0.029,0.152,0.0,0.968,False
Subject6,1.314543,ERP,0.044,1.026,0.001,0.861,False
Subject6,1.314543,LRP,-0.534,8.527,0.001,0.989,False
Subject6,1.314543,DP,0.897,2.08,0.003,0.983,False
Subject6,1.3194780000000002,CP,-0.031,0.113,0.0,0.965,False
Subject6,1.3194780000000002,ERP,0.018,0.783,0.001,0.805,False
Subject6,1.3194780000000002,LRP,-0.632,7.206,0.002,0.982,False
Subject6,1.3194780000000002,DP,0.775,1.693,0.004,0.97,False
Subject6,1.33194,CP,-0.033,-0.065,0.0,0.634,False
Subject6,1.33194,ERP,0.153,2.027,0.01,0.733,False
Subject6,1.33194,LRP,0.008,5.504,0.001,0.982,False
Subject6,1.33194,DP,0.901,1.962,0.006,0.971,False
Subject6,1.340141,CP,-0.042,0.109,0.0,0.903,False
Subject6,1.340141,ERP,-0.011,0.87,0.0,0.931,False
Subject6,1.340141,LRP,-1.045,6.831,0.001,0.988,False
Subject6,1.340141,DP,0.722,1.908,0.005,0.97,False
Subject6,1.3413760000000001,CP,0.073,0.746,0.002,0.59,False
Subject6,1.3413760000000001,ERP,0.145,2.921,0.001,0.9,False
Subject6,1.3413760000000001,LRP,0.072,4.783,0.001,0.991,False
Subject6,1.3413760000000001,DP,0.852,1.974,0.005,0.976,False
Subject6,1.349414,CP,-0.05,0.553,0.001,0.469,True
