[2020-08-22 16:38:16.513] [warning] Couldn't find file 'trapezium_lvs.vtp'.
[2020-08-22 16:38:16.513] [warning] Couldn't find file 'metacarpal2_lvs.vtp'.
[2020-08-22 16:38:16.513] [warning] Couldn't find file 'index_proximal_lvs.vtp'.
[2020-08-22 16:38:16.513] [warning] Couldn't find file 'index_medial_lvs.vtp'.
[2020-08-22 16:38:16.513] [warning] Couldn't find file 'index_distal_lvs.vtp'.
[2020-08-22 16:38:16.513] [warning] Couldn't find file 'metacarpal3_lvs.vtp'.
[2020-08-22 16:38:16.513] [warning] Couldn't find file 'middle_proximal_lvs.vtp'.
[2020-08-22 16:38:16.513] [warning] Couldn't find file 'middle_medial_lvs.vtp'.
[2020-08-22 16:38:16.514] [warning] Couldn't find file 'middle_distal_lvs.vtp'.
[2020-08-22 16:38:16.514] [warning] Couldn't find file 'metacarpal4_lvs.vtp'.
[2020-08-22 16:38:16.514] [warning] Couldn't find file 'ring_proximal_lvs.vtp'.
[2020-08-22 16:38:16.514] [warning] Couldn't find file 'ring_medial_lvs.vtp'.
[2020-08-22 16:38:16.514] [warning] Couldn't find file 'ring_distal_lvs.vtp'.
[2020-08-22 16:38:16.514] [warning] Couldn't find file 'metacarpal5_lvs.vtp'.
[2020-08-22 16:38:16.514] [warning] Couldn't find file 'little_proximal_lvs.vtp'.
[2020-08-22 16:38:16.514] [warning] Couldn't find file 'little_medial_lvs.vtp'.
[2020-08-22 16:38:16.514] [warning] Couldn't find file 'little_distal_lvs.vtp'.
[2020-08-22 16:38:16.514] [warning] Couldn't find file 'metacarpal1_lvs.vtp'.
[2020-08-22 16:38:16.514] [warning] Couldn't find file 'thumb_proximal_lvs.vtp'.
[2020-08-22 16:38:16.514] [warning] Couldn't find file 'thumb_distal_lvs.vtp'.
[2020-08-22 16:38:16.712] [info] Loading marker set from '/home/nikorose/Documents/DJS-GA/C3D/Gait_rawdata_c3d/osim_files_S01/Scale_MarkerSet.xml'.
[2020-08-22 16:38:19.719] [info] Updated markers in model FullBodyModel_MuscleActuatedLowerLimb_TorqueActuatedUpperBody
[2020-08-22 16:38:19.719] [info] Step 2: Scaling generic model
[2020-08-22 16:38:19.849] [error] MarkerData.readStoFile: ERROR- No markers were identified. Markers should appear on consecutive columns as Marker1.x Marker1.y Marker1.z Marker2.x... etc.
[2020-08-22 17:07:49.291] [info] Processing subject S01_scaled...
[2020-08-22 17:07:49.291] [info] Step 1: Loading generic model
[2020-08-22 17:07:49.378] [info] Loaded model FullBodyModel_MuscleActuatedLowerLimb_TorqueActuatedUpperBody from file /home/nikorose/Documents/DJS-GA/C3D/Gait_rawdata_c3d/osim_files_S01/custom_model.osim
[2020-08-22 17:07:49.379] [warning] Couldn't find file 'r_pelvis.vtp'.
[2020-08-22 17:07:49.379] [warning] Couldn't find file 'l_pelvis.vtp'.
[2020-08-22 17:07:49.379] [warning] Couldn't find file 'sacrum.vtp'.
[2020-08-22 17:07:49.379] [warning] Couldn't find file 'r_femur.vtp'.
[2020-08-22 17:07:49.379] [warning] Couldn't find file 'r_tibia.vtp'.
[2020-08-22 17:07:49.379] [warning] Couldn't find file 'r_fibula.vtp'.
[2020-08-22 17:07:49.379] [warning] Couldn't find file 'r_patella.vtp'.
[2020-08-22 17:07:49.379] [warning] Couldn't find file 'r_talus.vtp'.
[2020-08-22 17:07:49.379] [warning] Couldn't find file 'r_foot.vtp'.
[2020-08-22 17:07:49.379] [warning] Couldn't find file 'r_bofoot.vtp'.
[2020-08-22 17:07:49.379] [warning] Couldn't find file 'l_femur.vtp'.
[2020-08-22 17:07:49.380] [warning] Couldn't find file 'l_tibia.vtp'.
[2020-08-22 17:07:49.380] [warning] Couldn't find file 'l_fibula.vtp'.
[2020-08-22 17:07:49.380] [warning] Couldn't find file 'l_patella.vtp'.
[2020-08-22 17:07:49.380] [warning] Couldn't find file 'l_talus.vtp'.
[2020-08-22 17:07:49.380] [warning] Couldn't find file 'l_foot.vtp'.
[2020-08-22 17:07:49.380] [warning] Couldn't find file 'l_bofoot.vtp'.
[2020-08-22 17:07:49.380] [warning] Couldn't find file 'hat_spine.vtp'.
[2020-08-22 17:07:49.380] [warning] Couldn't find file 'hat_jaw.vtp'.
[2020-08-22 17:07:49.380] [warning] Couldn't find file 'hat_skull.vtp'.
[2020-08-22 17:07:49.380] [warning] Couldn't find file 'hat_ribs_scap.vtp'.
[2020-08-22 17:07:49.380] [warning] Couldn't find file 'humerus_rv.vtp'.
[2020-08-22 17:07:49.380] [warning] Couldn't find file 'ulna_rv.vtp'.
[2020-08-22 17:07:49.380] [warning] Couldn't find file 'radius_rv.vtp'.
[2020-08-22 17:07:49.380] [warning] Couldn't find file 'pisiform_rvs.vtp'.
[2020-08-22 17:07:49.380] [warning] Couldn't find file 'lunate_rvs.vtp'.
[2020-08-22 17:07:49.380] [warning] Couldn't find file 'scaphoid_rvs.vtp'.
[2020-08-22 17:07:49.381] [warning] Couldn't find file 'triquetrum_rvs.vtp'.
[2020-08-22 17:07:49.381] [warning] Couldn't find file 'hamate_rvs.vtp'.
[2020-08-22 17:07:49.381] [warning] Couldn't find file 'capitate_rvs.vtp'.
[2020-08-22 17:07:49.381] [warning] Couldn't find file 'trapezoid_rvs.vtp'.
[2020-08-22 17:07:49.381] [warning] Couldn't find file 'trapezium_rvs.vtp'.
[2020-08-22 17:07:49.381] [warning] Couldn't find file 'metacarpal2_rvs.vtp'.
[2020-08-22 17:07:49.381] [warning] Couldn't find file 'index_proximal_rvs.vtp'.
[2020-08-22 17:07:49.381] [warning] Couldn't find file 'index_medial_rvs.vtp'.
[2020-08-22 17:07:49.381] [warning] Couldn't find file 'index_distal_rvs.vtp'.
[2020-08-22 17:07:49.381] [warning] Couldn't find file 'metacarpal3_rvs.vtp'.
[2020-08-22 17:07:49.381] [warning] Couldn't find file 'middle_proximal_rvs.vtp'.
[2020-08-22 17:07:49.381] [warning] Couldn't find file 'middle_medial_rvs.vtp'.
[2020-08-22 17:07:49.381] [warning] Couldn't find file 'middle_distal_rvs.vtp'.
[2020-08-22 17:07:49.381] [warning] Couldn't find file 'metacarpal4_rvs.vtp'.
[2020-08-22 17:07:49.381] [warning] Couldn't find file 'ring_proximal_rvs.vtp'.
